sitename,electrificationpolename,kilometer,kilolon,kilolat,
金谷駅,副２０,212649,138.12767,34.820661,212650
金谷駅,本２０,212649,138.12767,34.820661,212650
金谷駅,副２１,212676,138.127453,34.820528,212675
金谷駅,本２１,212676,138.127453,34.820528,212675
金谷駅,副２２,212710,138.12717,34.820318,212710
金谷駅,本２２,212710,138.12717,34.820318,212710
金谷駅,副２３,212753,138.126828,34.820023,212755
金谷駅,本２３,212753,138.126828,34.820023,212755
金谷駅,止２,212765,138.126755,34.819955,212765
金谷駅,副２４,212790,138.12658,34.819785,212790
金谷駅,本２４,212790,138.12658,34.819785,212790
金谷駅,副２５,212820,138.12637,34.81958,212820
金谷駅,本２５,212820,138.12637,34.81958,212820
金谷駅,副２６,212847,138.126185,34.81941,212845
金谷駅,本２６,212847,138.126185,34.81941,212845
金谷駅,副２７,212891,138.125865,34.819103,212890
金谷駅,止３,212899,138.12579,34.819035,212900
金谷駅,副２８,212943,138.125475,34.818727,212945
金谷駅,本２８,212943,138.125475,34.818727,212945
金谷駅,副２９,212985,138.125193,34.818454,212985
金谷駅,本２９,212985,138.125193,34.818454,212985
金谷駅,副３０－１,213015,138.124975,34.818249,213015
金谷駅,副３０－２,213015,138.124975,34.818249,213015
金谷駅,副３０－３,213015,138.124975,34.818249,213015
金谷駅,本３０,213015,138.124975,34.818249,213015
金谷駅,副３１－１,213040,138.1248,34.81807,213040
金谷駅,副３１－２,213040,138.1248,34.81807,213040
金谷駅,本３１,213040,138.1248,34.81807,213040
金谷～菊川,副１,214117,138.117963,34.810314,214115
金谷～菊川,本１,214117,138.117963,34.810314,214115
金谷～菊川,副２,214137,138.117913,34.81014,214135
金谷～菊川,本２,214137,138.117913,34.81014,214135
金谷～菊川,副３,214167,138.11785,34.809876,214165
金谷～菊川,本３,214167,138.11785,34.809876,214165
金谷～菊川,副４,214197,138.117798,34.809609,214195
金谷～菊川,本４,214197,138.117798,34.809609,214195
金谷～菊川,副５,214227,138.117755,34.80934,214225
金谷～菊川,本５,214227,138.117755,34.80934,214225
金谷～菊川,副６,214257,138.117725,34.809071,214255
金谷～菊川,本６,214257,138.117725,34.809071,214255
金谷～菊川,下副１,214262,138.11772,34.809026,214260
金谷～菊川,下本１,214262,138.11772,34.809026,214260
金谷～菊川,副７,214286,138.11771,34.808801,214285
金谷～菊川,本７,214286,138.11771,34.808801,214285
金谷～菊川,下副２,214291,138.11771,34.808756,214290
金谷～菊川,下本２,214291,138.11771,34.808756,214290
金谷～菊川,副８,214315,138.11771,34.808531,214315
金谷～菊川,本８,214315,138.11771,34.808531,214315
金谷～菊川,下副３,214331,138.117715,34.808396,214330
金谷～菊川,下本３,214331,138.117715,34.808396,214330
